zinc,,Smiles,Dock,SA,HBA,HBD,ROTB,LOGP,QED,MW
ZINC000027715109,,C1=C(c2ccccc2)CC[C@@H](CCN2CCN(c3ccccn3)CC2)C1,-8.9,2.668044986,3,0,5,4.4774,0.794966579,347.5
ZINC000028568263,,CCN(C)C(=O)[C@@H]1C[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]2(C)[C@H]1O,-8.9,4.072671006,3,2,2,3.3136,0.853552022,357.5
ZINC000028568442,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C/C(=C\c1cccs1)C2=O,-8.9,3.805363957,2,1,1,5.5724,0.67150358,364.5
ZINC000028568447,,CCOC[C@H]1C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]2(C)C1=O,-8.9,3.984759422,3,1,3,4.08,0.909213067,328.5
ZINC000028568682,,CCNC(=O)C[C@H]1C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]2(C)[C@H]1O,-8.9,3.962920137,3,3,3,3.3615,0.776799257,357.5
ZINC000028568694,,CCNC(=O)C[C@H]1C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]2(C)C1=O,-8.9,3.893558197,3,2,3,3.5697,0.87097349,355.5
ZINC000028568724,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C/C(=C\c1cccnc1)[C@@H]2O,-8.9,3.960189232,3,2,1,4.6977,0.774133977,361.5
ZINC000028647211,,O=C(c1cc2ccc(O)cc2o1)c1cc2ccc(O)cc2o1,-8.9,2.396756324,5,2,2,3.8212,0.548944912,294.3
ZINC000028714164,,CNC(=O)Nc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,-8.9,4.192224847,2,2,3,4.2964,0.836647115,367.5
ZINC000028823057,,Cc1ccc2ccc(-c3cccc(O)c3)cc2n1,-8.9,1.835333473,2,1,1,3.91582,0.69317505,235.3
ZINC000028823074,,CCOc1cc(C#N)cc(-c2ccc3ccc(C)nc3c2)c1,-8.9,2.130444236,3,0,3,4.4806,0.713451955,288.4
ZINC000028826023,,N#Cc1cc(F)cc(-c2cc3ncccc3cn2)c1,-8.9,2.322056496,3,0,1,3.30758,0.66439463,249.2
ZINC000028826032,,N#Cc1cccc(-c2cnc3cccnc3c2)c1,-8.9,1.991412233,3,0,1,3.16848,0.645922596,231.3
ZINC000028862032,,Nc1nc(C(=O)Nc2ccccc2)c2ccccc2n1,-8.9,1.80977362,4,2,2,2.4643,0.744632087,264.3
ZINC000028957172,,Clc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1Cl,-8.9,2.456575578,4,1,4,4.7102,0.565335813,370.2
ZINC000028973487,,CCc1c(C(=O)OC)cc2c(c1O)C(=O)c1c(O)cc3cc(C)c(Cl)c(OC)c3c1C2=O,-8.9,3.006140633,7,2,3,4.34582,0.442692172,454.9
ZINC000029043180,,NS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1,-8.9,2.560776583,8,3,5,2.9933,0.575239463,419.9
ZINC000029062678,,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)NCc1nc(-c2ccccc2)c[nH]1,-8.9,3.62868674,5,4,7,3.53884,0.295010839,523.6
ZINC000029346910,,C[C@H]1CCCCN1C(=O)N(Cc1cccc(C(=N)NO)c1)NS(=O)(=O)c1ccc2ccccc2c1,-8.9,3.360887064,5,4,6,3.83387,0.234901571,495.6
ZINC000029551569,,C[C@H](CCC(=O)NCC(=O)O)[C@@H]1CC[C@@H]2[C@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C,-8.9,4.414551614,5,4,6,3.5941,0.495705686,449.6
ZINC000030731214,,NC(=O)N1c2ccccc2C=Cc2cc(O)c(O)cc21,-8.9,2.651070191,3,3,0,2.7984,0.641921051,268.3
ZINC000031274852,,Cc1ccc(/C(=C/CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-8.9,2.503387028,4,1,6,4.01532,0.801415147,348.4
ZINC000033295981,,O=[N+]([O-])c1cccc(/N=C2\N=CCC(c3cccc(Cn4cncn4)c3)=N2)c1,-8.9,3.076419552,4,0,5,3.1859,0.50488107,373.4
